"The Sparrow"	"The Sparrow"	"Mary Doria Russell"	"4.14"	"81,396"	"9,897"	"In 2019, humanity finally finds proof of extraterrestrial life when a listening post in Puerto Rico picks up exquisite singing from a planet that will come to be known as Rakhat. While United Nations diplomats endlessly debate a possible first contact mission, the Society of Jesus quietly organizes an eight-person scientific expedition of its own. What the Jesuits find is a world so beyond comprehension that it will lead them to question what it means to be "human"."	"419"	"September 8, 1997"	"Science Fiction; Fiction; Book Club; Fantasy; Religion; Science Fiction Fantasy; Speculative Fiction"	"Borgo Santo Spirito, Rome(Italy, 2059),Arecibo(Puerto Rico, 2019),Naples(Italy, 2060),San Juan(Puerto Rico, 2019),Rakhat(, 2039)"	"Emilio Sandoz,Jimmy Quinn,Vincenzo Giuliani,John Candotti,Johannes Voelker,Edward Behr,Sofia Mendez,Anne Edwards,George Edwards,Alan Pace,Felipe Reyes,D.W. Yarbrough,Marc Robichaux,Supaari,Askama,Hlavin Kitheri"	"9780449912553(ISBN10: 0449912558)"	"English"	"https://www.goodreads.com/book/show/334176.The_Sparrow"
"The Amulet of Samarkand"	"Bartimaeus"	"Jonathan Stroud"	"4.04"	"134,428"	"6,320"	"Nathaniel is a boy magician-in-training, sold to the government by his birth parents at the age of five and sent to live as an apprentice to a master. Powerful magicians rule Britain, and its empire, and Nathaniel is told his is the "ultimate sacrifice" for a "noble destiny."If leaving his parents and erasing his past life isn't tough enough, Nathaniel's master, Arthur Underwood, is a cold, condescending, and cruel middle-ranking magician in the Ministry of Internal Affairs. The boy's only saving grace is the master's wife, Martha Underwood, who shows him genuine affection that he rewards with fierce devotion. Nathaniel gets along tolerably well over the years in the Underwood household until the summer before his eleventh birthday. Everything changes when he is publicly humiliated by the ruthless magician Simon Lovelace and betrayed by his cowardly master who does not defend him.Nathaniel vows revenge. In a Faustian fever, he devours magical texts and hones his magic skills, all the while trying to appear subservient to his master. When he musters the strength to summon the 5,000-year-old djinni Bartimaeus to avenge Lovelace by stealing the powerful Amulet of Samarkand, the boy magician plunges into a situation more dangerous and deadly than anything he could ever imagine."	"462"	"September 30, 2003"	"Fantasy; Young Adult; Fiction; Magic; Middle Grade; Audiobook; Adventure"	"London, England"	"Bartimaeus,Arthur Underwood,Martha Underwood,Simon Lovelace,Rupert Devereaux,Jessica Whitwell,Sholto Pinn,Kathleen "Kitty" Jones,Simkin,Stanley Hake,Faquarl,Nathaniel"	"9780786818594(ISBN10: 078681859X)"	"English"	"https://www.goodreads.com/book/show/334123.The_Amulet_of_Samarkand"
"Definitely Dead"	"Sookie Stackhouse"	"Charlaine Harris"	"4.02"	"210,856"	"4,627"	"Since Louisiana cocktail waitress Sookie Stackhouse has so few living relatives, she hates to lose one - even her cousin Hadley, undead consort of the vampire Queen of Louisiana. Hadley's left everything she has to Sookie, but claiming that inheritance has a high risk factor. Some people don't want her looking too deeply into Hadley's past,orHadley's possessions. And they're prepared to do anything in their power to stop her. Whoever it is, they're definitely dangerous - and Sookie's life is definitely on the line..."	"324"	"March 27, 2007"	"Fantasy; Vampires; Paranormal; Urban Fantasy; Romance; Fiction; Mystery"	"Unknown"	"Sookie Stackhouse,Bill Compton,Sam Merlotte,Jason Stackhouse,Eric Northman,Tara Thornton,Pam Ravenscroft,Sophie-Anne LeClerq,Amelia Broadway"	"9780441014910(ISBN10: 0441014917)"	"English"	"https://www.goodreads.com/book/show/140079.Definitely_Dead"
"Breaking Dawn"	"The Twilight Saga"	"Stephenie Meyer"	"3.76"	"1,859,252"	"58,163"	""Don't be afraid," I murmured. "We belong together."I was abruptly overwhelmed by the truth of my own words.This moment was so perfect, so right, there was no way to doubt it.His arms wrapped around me,holding me against him....It felt like every nerve ending in my body was a live wire."Forever," he agreed.WHEN YOU LOVED THE ONE WHO WAS KILLING YOU, IT LEFT YOU NO OPTIONS. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give, how could you not give it? If it was someone you truly loved?TO BE IRREVOCABLY IN LOVE WITH A VAMPIRE is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, a tumultuous year of temptation, loss, and strife have led her to the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs.NOW THAT BELLA HAS MADE HER DECISION, a startling chain of unprecedented events is about to unfold with potentially devastating, and unfathomable, consequences. Just when the frayed strands of Bella's life - first discovered inTwilight, then scattered and torn inNew MoonandEclipse- seem ready to heal and knit together, could they be destroyed... forever?THE ASTONISHING, BREATHLESSLY anticipated conclusion to the Twilight Saga,Breaking Dawnilluminates the secrets and mysteries of this spellbinding romantic epic that has entranced millions."	"756"	"August 2, 2008"	"Fantasy; Young Adult; Romance; Vampires; Fiction; Paranormal; Paranormal Romance"	"Forks, Washington(United States),Washington (state)(United States)"	"Edward Cullen,Jacob Black,Bella Swan,Esme Cullen,Alice Cullen,Jasper Hale,Emmett Cullen,Rosalie Hale,Charlie Swan,Renesmee Cullen,Seth Clearwater,Leah Clearwater"	"9780316067928(ISBN10: 031606792X)"	"English"	"https://www.goodreads.com/book/show/1162543.Breaking_Dawn"
"The Hotel New Hampshire"	"None"	"John Irving"	"3.93"	"68,615"	"2,316"	"“The first of my father’s illusions was that bears could survive the life lived by human beings, and the second was that human beings could survive a life led in hotels.” So says John Berry, son of a hapless dreamer, brother to a cadre of eccentric siblings, and chronicler of the lives lived, the loves experienced, the deaths met, and the myriad strange and wonderful times encountered by the family Berry. Hoteliers, pet-bear owners, friends of Freud (the animal trainer and vaudevillian, that is), and playthings of mad fate, they “dream on” in a funny, sad, outrageous, and moving novel by the remarkable author of A Prayer for Owen Meany and Last Night in Twisted River."	"520"	"January 6, 1999"	"Fiction; Contemporary; Classics; Literature; Literary Fiction; Novels; American"	"New Hampshire(United States),Vienna(Austria),New York City, New York(United States)"	"John Berry,Franny Berry,Frank Berry,Win Berry,Lilly Berry"	"9780552992091(ISBN10: 0552992097)"	"English"	"https://www.goodreads.com/book/show/11768.The_Hotel_New_Hampshire"
"The Fountainhead"	"The Fountainhead"	"Ayn Rand; Leonard Peikoff"	"3.89"	"336,261"	"15,394"	"The revolutionary literary vision that sowed the seeds of Objectivism, Ayn Rand's groundbreaking philosophy, and brought her immediate worldwide acclaim.This modern classic is the story of intransigent young architect Howard Roark, whose integrity was as unyielding as granite...of Dominique Francon, the exquisitely beautiful woman who loved Roark passionately, but married his worst enemy...and of the fanatic denunciation unleashed by an enraged society against a great creator. As fresh today as it was then, Rand’s provocative novel presents one of the most challenging ideas in all of fiction—that man’s ego is the fountainhead of human progress...“A writer of great power. She has a subtle and ingenious mind and the capacity of writing brilliantly, beautifully, bitterly...This is the only novel of ideas written by an American woman that I can recall.”—The New York Times"	"704"	"September 1, 1996"	"Fiction; Classics; Philosophy; Literature; Novels; Politics; Architecture"	"New York City, New York(United States)"	"Howard Roark,Peter Keating,Ellsworth Toohey,Dominique Francon"	"Unknown"	"English"	"https://www.goodreads.com/book/show/2122.The_Fountainhead"
"The Brief Wondrous Life of Oscar Wao"	"None"	"Junot Díaz"	"3.89"	"277,583"	"22,788"	"Things have never been easy for Oscar, a sweet but disastrously overweight, lovesick Dominican ghetto nerd. From his home in New Jersey, where he lives with his old-world mother and rebellious sister, Oscar dreams of becoming the Dominican J. R. R. Tolkien and, most of all, of finding love. But he may never get what he wants, thanks to the Fukœ—the curse that has haunted the Oscar's family for generations, dooming them to prison, torture, tragic accidents, and, above all, ill-starred love. Oscar, still waiting for his first kiss, is just its most recent victim.Diaz immerses us in the tumultuous life of Oscar and the history of the family at large, rendering with genuine warmth and dazzling energy, humor, and insight the Dominican-American experience, and, ultimately, the endless human capacity to persevere in the face of heartbreak and loss. A true literary triumph,The Brief Wondrous Life of Oscar Waoconfirms Junot Diaz as one of the best and most exciting voices of our time."	"335"	"September 6, 2007"	"Fiction; Book Club; Contemporary; Magical Realism; Literary Fiction; Historical Fiction; Novels"	"Paterson, New Jersey(United States),Santo Domingo(Dominican Republic),Santiago, Dominican Republic,Dominican Republic,New York City, New York(United States),New Jersey(United States),New Brunswick, New Jersey(United States)"	"Oscar de León,Lola de León,Hypatía Belicia "Beli" Cabral de León,La Inca,Yunior de Las Casas,Ybón Pimentel,Dr Abelard Luis Cabral"	"9781594489587(ISBN10: 1594489580)"	"English"	"https://www.goodreads.com/book/show/297673.The_Brief_Wondrous_Life_of_Oscar_Wao"
"Reflected in You"	"Crossfire"	"Sylvia Day"	"4.29"	"364,533"	"11,833"	"Librarian note:Alternate cover edition of ISBN-13: 9780425263914, ISBN-10/ASIN: 0425263916Gideon Cross. As beautiful and flawless on the outside as he was damaged and tormented on the inside. He was a bright, scorching flame that singed me with the darkest of pleasures. I couldn't stay away. I didn't want to. He was my addiction... my every desire...mine.My past was as violent as his, and I was just as broken. We’d never work. It was too hard, too painful... except when it was perfect. Those moments when the driving hunger and desperate love were the most exquisite insanity.We were bound by our need. And our passion would take us beyond our limits to the sweetest, sharpest edge of obsession..."	"338"	"October 23, 2012"	"Romance; Erotica; Contemporary Romance; Contemporary; Adult; Erotic Romance; Fiction"	"Unknown"	"Gideon Cross,Eva Tramell"	"Unknown"	"English"	"https://www.goodreads.com/book/show/13596809-reflected-in-you"
"Guilty Pleasures"	"Anita Blake, Vampire Hunter"	"Laurell K. Hamilton"	"4.02"	"153,008"	"6,814"	"My name is Anita Blake. Vampires call me The Executioner. What I call them isn't repeatable.Ever since the Supreme Court granted the undead equal rights, most people think vampires are just ordinary folks with fangs. I know better. I've seen their victims. I carry the scars...But now a serial killer is murdering vampires -- and the most powerful bloodsucker in town wants me to find the killer..."	"355"	"August 3, 2004"	"Urban Fantasy; Fantasy; Vampires; Paranormal; Romance; Horror; Fiction"	"St. Louis, Missouri(United States)"	"Anita Blake,Dolph Storr,Zerbrowski (Anita Blake series),Jean-Claude (Anita Blake series),Edward "Ted" Forrester,Malcolm (Anita Blake series),Bert Vaughn"	"9780425197547(ISBN10: 0425197549)"	"English"	"https://www.goodreads.com/book/show/30281.Guilty_Pleasures"
"The Gargoyle"	"None"	"Andrew  Davidson"	"3.97"	"50,707"	"6,099"	"A young man is fighting for his life. Into his room walks a bewitching woman who believes she can save him. Their journey will have you believing in the impossible. The nameless and beautiful narrator of The Gargoyle is driving along a dark road when he is distracted by what seems to be a flight of arrows. He crashes into a ravine and wakes up in a burns ward, undergoing the tortures of the damned. His life is over - he is now a monster. But in fact it is only just beginning. One day, Marianne Engel, a wild and compelling sculptress of gargoyles, enters his life and tells him that they were once lovers in medieval Germany. In her telling, he was a badly burned mercenary and she was a nun and a scribe who nursed him back to health in the famed monastery of Engelthal. As she spins her tale, Scheherazade fashion, and relates equally mesmerising stories of deathless love in Japan, Greenland, Italy and England, he finds himself drawn back to life - and, finally, to love."	"468"	"January 1, 2008"	"Fiction; Fantasy; Historical Fiction; Romance; Book Club; Historical; Gothic"	"Germany,Japan,England,Italy,Iceland"	"Marianne Engel"	"9780385524940(ISBN10: 0385524943)"	"English"	"https://www.goodreads.com/book/show/2595138-the-gargoyle"
